id,name,set,country,round,type
0,Core BFR1 HQ,Core,BF,1,HQ
1,Core BFR1 FQ,Core,BF,1,FQ
2,Core BFR1 SQ,Core,BF,1,SQ
3,Core BFR2 HQ,Core,BF,2,HQ
4,Core BFR2 FQ,Core,BF,2,FQ
5,Core BFR2 SQ,Core,BF,2,SQ
6,Core BFR3 HQ,Core,BF,3,HQ
7,Core BFR3 FQ,Core,BF,3,FQ
8,Core BFR3 SQ,Core,BF,3,SQ
9,Core BFR4 HQ,Core,BF,4,HQ
10,Core BFR4 FQ,Core,BF,4,FQ
11,Core BFR4 SQ,Core,BF,4,SQ
12,Core BFR5 HQ,Core,BF,5,HQ
13,Core BFR5 FQ,Core,BF,5,FQ
14,Core BFR5 SQ,Core,BF,5,SQ
15,Core BFR6 HQ,Core,BF,6,HQ
16,Core BFR6 FQ,Core,BF,6,FQ
17,Core BFR6 SQ,Core,BF,6,SQ
18,Core BFR7 HQ,Core,BF,7,HQ
19,Core BFR7 FQ,Core,BF,7,FQ
20,Core BFR7 SQ,Core,BF,7,SQ
21,Core CIR1 HQ,Core,CI,1,HQ
22,Core CIR1 FQ,Core,CI,1,FQ
23,Core CIR1 SQ,Core,CI,1,SQ
24,Core CIR2 HQ,Core,CI,2,HQ
25,Core CIR2 FQ,Core,CI,2,FQ
26,Core CIR2 SQ,Core,CI,2,SQ
27,Core CIR3 HQ,Core,CI,3,HQ
28,Core CIR3 FQ,Core,CI,3,FQ
29,Core CIR3 SQ,Core,CI,3,SQ
30,Core CIR4 HQ,Core,CI,4,HQ
31,Core CIR4 FQ,Core,CI,4,FQ
32,Core CIR4 SQ,Core,CI,4,SQ
33,Core CIR5 HQ,Core,CI,5,HQ
34,Core CIR5 FQ,Core,CI,5,FQ
35,Core CIR5 SQ,Core,CI,5,SQ
36,Core CIR6 HQ,Core,CI,6,HQ
37,Core CIR6 FQ,Core,CI,6,FQ
38,Core CIR6 SQ,Core,CI,6,SQ
39,Core CIR7 HQ,Core,CI,7,HQ
40,Core CIR7 FQ,Core,CI,7,FQ
41,Core CIR7 SQ,Core,CI,7,SQ
42,Core CDR1 HQ,Core,CD,1,HQ
43,Core CDR1 FQ,Core,CD,1,FQ
44,Core CDR1 SQ,Core,CD,1,SQ
45,Core CDR2 HQ,Core,CD,2,HQ
46,Core CDR2 FQ,Core,CD,2,FQ
47,Core CDR2 SQ,Core,CD,2,SQ
48,Core CDR3 HQ,Core,CD,3,HQ
49,Core CDR3 FQ,Core,CD,3,FQ
50,Core CDR3 SQ,Core,CD,3,SQ
51,Core CDR4 HQ,Core,CD,4,HQ
52,Core CDR4 FQ,Core,CD,4,FQ
53,Core CDR4 SQ,Core,CD,4,SQ
54,Core CDR5 HQ,Core,CD,5,HQ
55,Core CDR5 FQ,Core,CD,5,FQ
56,Core CDR5 SQ,Core,CD,5,SQ
57,Core CDR6 HQ,Core,CD,6,HQ
58,Core CDR6 FQ,Core,CD,6,FQ
59,Core CDR6 SQ,Core,CD,6,SQ
60,Core CDR7 HQ,Core,CD,7,HQ
61,Core CDR7 FQ,Core,CD,7,FQ
62,Core CDR7 SQ,Core,CD,7,SQ
63,Core ETR1 HQ,Core,ET,1,HQ
64,Core ETR1 FQ,Core,ET,1,FQ
65,Core ETR1 SQ,Core,ET,1,SQ
66,Core ETR2 HQ,Core,ET,2,HQ
67,Core ETR2 FQ,Core,ET,2,FQ
68,Core ETR2 SQ,Core,ET,2,SQ
69,Core ETR3 HQ,Core,ET,3,HQ
70,Core ETR3 FQ,Core,ET,3,FQ
71,Core ETR3 SQ,Core,ET,3,SQ
72,Core ETR4 HQ,Core,ET,4,HQ
73,Core ETR4 FQ,Core,ET,4,FQ
74,Core ETR4 SQ,Core,ET,4,SQ
75,Core ETR5 HQ,Core,ET,5,HQ
76,Core ETR5 FQ,Core,ET,5,FQ
77,Core ETR5 SQ,Core,ET,5,SQ
78,Core ETR6 HQ,Core,ET,6,HQ
79,Core ETR6 FQ,Core,ET,6,FQ
80,Core ETR6 SQ,Core,ET,6,SQ
81,Core ETR7 HQ,Core,ET,7,HQ
82,Core ETR7 FQ,Core,ET,7,FQ
83,Core ETR7 SQ,Core,ET,7,SQ
84,Core GHR1 HQ,Core,GH,1,HQ
85,Core GHR1 FQ,Core,GH,1,FQ
86,Core GHR1 SQ,Core,GH,1,SQ
87,Core GHR2 HQ,Core,GH,2,HQ
88,Core GHR2 FQ,Core,GH,2,FQ
89,Core GHR2 SQ,Core,GH,2,SQ
90,Core GHR3 HQ,Core,GH,3,HQ
91,Core GHR3 FQ,Core,GH,3,FQ
92,Core GHR3 SQ,Core,GH,3,SQ
93,Core GHR4 HQ,Core,GH,4,HQ
94,Core GHR4 FQ,Core,GH,4,FQ
95,Core GHR4 SQ,Core,GH,4,SQ
96,Core GHR5 HQ,Core,GH,5,HQ
97,Core GHR5 FQ,Core,GH,5,FQ
98,Core GHR5 SQ,Core,GH,5,SQ
99,Core GHR6 HQ,Core,GH,6,HQ
100,Core GHR6 FQ,Core,GH,6,FQ
101,Core GHR6 SQ,Core,GH,6,SQ
102,Core GHR7 HQ,Core,GH,7,HQ
103,Core GHR7 FQ,Core,GH,7,FQ
104,Core GHR7 SQ,Core,GH,7,SQ
105,Core INR1 HQ,Core,IN,1,HQ
106,Core INR1 FQ,Core,IN,1,FQ
107,Core INR1 SQ,Core,IN,1,SQ
108,Core INR2 HQ,Core,IN,2,HQ
109,Core INR2 FQ,Core,IN,2,FQ
110,Core INR2 SQ,Core,IN,2,SQ
111,Core INR3 HQ,Core,IN,3,HQ
112,Core INR3 FQ,Core,IN,3,FQ
113,Core INR3 SQ,Core,IN,3,SQ
114,Core INR4 HQ,Core,IN,4,HQ
115,Core INR4 FQ,Core,IN,4,FQ
116,Core INR4 SQ,Core,IN,4,SQ
117,Core INR5 HQ,Core,IN,5,HQ
118,Core INR5 FQ,Core,IN,5,FQ
119,Core INR5 SQ,Core,IN,5,SQ
120,Core INR6 HQ,Core,IN,6,HQ
121,Core INR6 FQ,Core,IN,6,FQ
122,Core INR6 SQ,Core,IN,6,SQ
123,Core INR7 HQ,Core,IN,7,HQ
124,Core INR7 FQ,Core,IN,7,FQ
125,Core INR7 SQ,Core,IN,7,SQ
126,Core IDR1 HQ,Core,ID,1,HQ
127,Core IDR1 FQ,Core,ID,1,FQ
128,Core IDR1 SQ,Core,ID,1,SQ
129,Core IDR2 HQ,Core,ID,2,HQ
130,Core IDR2 FQ,Core,ID,2,FQ
131,Core IDR2 SQ,Core,ID,2,SQ
132,Core IDR3 HQ,Core,ID,3,HQ
133,Core IDR3 FQ,Core,ID,3,FQ
134,Core IDR3 SQ,Core,ID,3,SQ
135,Core IDR4 HQ,Core,ID,4,HQ
136,Core IDR4 FQ,Core,ID,4,FQ
137,Core IDR4 SQ,Core,ID,4,SQ
138,Core IDR5 HQ,Core,ID,5,HQ
139,Core IDR5 FQ,Core,ID,5,FQ
140,Core IDR5 SQ,Core,ID,5,SQ
141,Core IDR6 HQ,Core,ID,6,HQ
142,Core IDR6 FQ,Core,ID,6,FQ
143,Core IDR6 SQ,Core,ID,6,SQ
144,Core IDR7 HQ,Core,ID,7,HQ
145,Core IDR7 FQ,Core,ID,7,FQ
146,Core IDR7 SQ,Core,ID,7,SQ
147,Core KER1 HQ,Core,KE,1,HQ
148,Core KER1 FQ,Core,KE,1,FQ
149,Core KER1 SQ,Core,KE,1,SQ
150,Core KER2 HQ,Core,KE,2,HQ
151,Core KER2 FQ,Core,KE,2,FQ
152,Core KER2 SQ,Core,KE,2,SQ
153,Core KER3 HQ,Core,KE,3,HQ
154,Core KER3 FQ,Core,KE,3,FQ
155,Core KER3 SQ,Core,KE,3,SQ
156,Core KER4 HQ,Core,KE,4,HQ
157,Core KER4 FQ,Core,KE,4,FQ
158,Core KER4 SQ,Core,KE,4,SQ
159,Core KER5 HQ,Core,KE,5,HQ
160,Core KER5 FQ,Core,KE,5,FQ
161,Core KER5 SQ,Core,KE,5,SQ
162,Core KER6 HQ,Core,KE,6,HQ
163,Core KER6 FQ,Core,KE,6,FQ
164,Core KER6 SQ,Core,KE,6,SQ
165,Core KER7 HQ,Core,KE,7,HQ
166,Core KER7 FQ,Core,KE,7,FQ
167,Core KER7 SQ,Core,KE,7,SQ
168,Core NGR1 HQ,Core,NG,1,HQ
169,Core NGR1 FQ,Core,NG,1,FQ
170,Core NGR1 SQ,Core,NG,1,SQ
171,Core NGR2 HQ,Core,NG,2,HQ
172,Core NGR2 FQ,Core,NG,2,FQ
173,Core NGR2 SQ,Core,NG,2,SQ
174,Core NGR3 HQ,Core,NG,3,HQ
175,Core NGR3 FQ,Core,NG,3,FQ
176,Core NGR3 SQ,Core,NG,3,SQ
177,Core NGR4 HQ,Core,NG,4,HQ
178,Core NGR4 FQ,Core,NG,4,FQ
179,Core NGR4 SQ,Core,NG,4,SQ
180,Core NGR5 HQ,Core,NG,5,HQ
181,Core NGR5 FQ,Core,NG,5,FQ
182,Core NGR5 SQ,Core,NG,5,SQ
183,Core NGR6 HQ,Core,NG,6,HQ
184,Core NGR6 FQ,Core,NG,6,FQ
185,Core NGR6 SQ,Core,NG,6,SQ
186,Core NGR7 HQ,Core,NG,7,HQ
187,Core NGR7 FQ,Core,NG,7,FQ
188,Core NGR7 SQ,Core,NG,7,SQ
189,Core NER1 HQ,Core,NE,1,HQ
190,Core NER1 FQ,Core,NE,1,FQ
191,Core NER1 SQ,Core,NE,1,SQ
192,Core NER2 HQ,Core,NE,2,HQ
193,Core NER2 FQ,Core,NE,2,FQ
194,Core NER2 SQ,Core,NE,2,SQ
195,Core NER3 HQ,Core,NE,3,HQ
196,Core NER3 FQ,Core,NE,3,FQ
197,Core NER3 SQ,Core,NE,3,SQ
198,Core NER4 HQ,Core,NE,4,HQ
199,Core NER4 FQ,Core,NE,4,FQ
200,Core NER4 SQ,Core,NE,4,SQ
201,Core NER5 HQ,Core,NE,5,HQ
202,Core NER5 FQ,Core,NE,5,FQ
203,Core NER5 SQ,Core,NE,5,SQ
204,Core NER6 HQ,Core,NE,6,HQ
205,Core NER6 FQ,Core,NE,6,FQ
206,Core NER6 SQ,Core,NE,6,SQ
207,Core NER7 HQ,Core,NE,7,HQ
208,Core NER7 FQ,Core,NE,7,FQ
209,Core NER7 SQ,Core,NE,7,SQ
210,Core UGR1 HQ,Core,UG,1,HQ
211,Core UGR1 FQ,Core,UG,1,FQ
212,Core UGR1 SQ,Core,UG,1,SQ
213,Core UGR2 HQ,Core,UG,2,HQ
214,Core UGR2 FQ,Core,UG,2,FQ
215,Core UGR2 SQ,Core,UG,2,SQ
216,Core UGR3 HQ,Core,UG,3,HQ
217,Core UGR3 FQ,Core,UG,3,FQ
218,Core UGR3 SQ,Core,UG,3,SQ
219,Core UGR4 HQ,Core,UG,4,HQ
220,Core UGR4 FQ,Core,UG,4,FQ
221,Core UGR4 SQ,Core,UG,4,SQ
222,Core UGR5 HQ,Core,UG,5,HQ
223,Core UGR5 FQ,Core,UG,5,FQ
224,Core UGR5 SQ,Core,UG,5,SQ
225,Core UGR6 HQ,Core,UG,6,HQ
226,Core UGR6 FQ,Core,UG,6,FQ
227,Core UGR6 SQ,Core,UG,6,SQ
228,Core UGR7 HQ,Core,UG,7,HQ
229,Core UGR7 FQ,Core,UG,7,FQ
230,Core UGR7 SQ,Core,UG,7,SQ
231,NUT BFR1 HQ,NUT,BF,1,HQ
232,NUT BFR1 FQ,NUT,BF,1,FQ
233,NUT BFR1 SQ,NUT,BF,1,SQ
234,NUT BFR2 HQ,NUT,BF,2,HQ
235,NUT BFR2 FQ,NUT,BF,2,FQ
236,NUT BFR2 SQ,NUT,BF,2,SQ
237,NUT BFR3 HQ,NUT,BF,3,HQ
238,NUT BFR3 FQ,NUT,BF,3,FQ
239,NUT BFR3 SQ,NUT,BF,3,SQ
240,NUT BFR4 HQ,NUT,BF,4,HQ
241,NUT BFR4 FQ,NUT,BF,4,FQ
242,NUT BFR4 SQ,NUT,BF,4,SQ
243,NUT BFR5 HQ,NUT,BF,5,HQ
244,NUT BFR5 FQ,NUT,BF,5,FQ
245,NUT BFR5 SQ,NUT,BF,5,SQ
246,NUT BFR6 HQ,NUT,BF,6,HQ
247,NUT BFR6 FQ,NUT,BF,6,FQ
248,NUT BFR6 SQ,NUT,BF,6,SQ
249,NUT BFR7 HQ,NUT,BF,7,HQ
250,NUT BFR7 FQ,NUT,BF,7,FQ
251,NUT BFR7 SQ,NUT,BF,7,SQ
252,NUT CIR1 HQ,NUT,CI,1,HQ
253,NUT CIR1 FQ,NUT,CI,1,FQ
254,NUT CIR1 SQ,NUT,CI,1,SQ
255,NUT CIR2 HQ,NUT,CI,2,HQ
256,NUT CIR2 FQ,NUT,CI,2,FQ
257,NUT CIR2 SQ,NUT,CI,2,SQ
258,NUT CIR3 HQ,NUT,CI,3,HQ
259,NUT CIR3 FQ,NUT,CI,3,FQ
260,NUT CIR3 SQ,NUT,CI,3,SQ
261,NUT CIR4 HQ,NUT,CI,4,HQ
262,NUT CIR4 FQ,NUT,CI,4,FQ
263,NUT CIR4 SQ,NUT,CI,4,SQ
264,NUT CIR5 HQ,NUT,CI,5,HQ
265,NUT CIR5 FQ,NUT,CI,5,FQ
266,NUT CIR5 SQ,NUT,CI,5,SQ
267,NUT CIR6 HQ,NUT,CI,6,HQ
268,NUT CIR6 FQ,NUT,CI,6,FQ
269,NUT CIR6 SQ,NUT,CI,6,SQ
270,NUT CIR7 HQ,NUT,CI,7,HQ
271,NUT CIR7 FQ,NUT,CI,7,FQ
